stop_id,stop_name,stop_lat,stop_lon,stop_code,tiploc_code,stop_desc,stop_timezone,wheelchair_boarding,platform_code,parent_station,location_type
9100SWSHEAD2,Swineshead (Platform 2),52.9697297,-0.1867064,SWE,SWSHEAD,,Europe/London,0,2,910GSWSHEAD,0
9100SWYTHLN1,Swaythling (Platform 1),50.9411238,-1.3764672,SWG,SWYTHLN,,Europe/London,0,1,910GSWYTHLN,0
9100SWYTHLN2,Swaythling (Platform 2),50.9411238,-1.3764672,SWG,SWYTHLN,,Europe/London,0,2,910GSWYTHLN,0
9100SWYTHLNBUS,Swaythling (Platform BUS),50.94114842921,-1.37640858762,SWG,SWYTHLN,,Europe/London,0,BUS,910GSWYTHLN,0
9100SYDNHMH1,Sydenham Hill (Platform 1),51.4326101,-0.0801504,SYH,SYDNHMH,,Europe/London,2,1,910GSYDNHMH,0
9100SYDNHMH2,Sydenham Hill (Platform 2),51.4326101,-0.0801504,SYH,SYDNHMH,,Europe/London,2,2,910GSYDNHMH,0
9100SYDNHMHBUS,Sydenham Hill (Platform BUS),51.43271414473,-0.08033949046,SYH,SYDNHMH,,Europe/London,2,BUS,910GSYDNHMH,0
9100SYONLA1,Syon Lane (Platform 1),51.4818147,-0.32478,SYL,SYONLA,,Europe/London,0,1,910GSYONLA,0
9100SYONLA2,Syon Lane (Platform 2),51.4818147,-0.32478,SYL,SYONLA,,Europe/London,0,2,910GSYONLA,0
9100SYONLABUS,Syon Lane (Platform BUS),51.48178497092,-0.3248418375,SYL,SYONLA,,Europe/London,0,BUS,910GSYONLA,0
9100SYSTON1,Syston (Platform 1),52.6940888,-1.0825247,SYS,SYSTON,,Europe/London,0,1,910GSYSTON,0
9100SYSTONBUS,Syston (Platform BUS),52.69421059855,-1.08239871107,SYS,SYSTON,,Europe/London,0,BUS,910GSYSTON,0
9100TABYBUS,Thornaby (Platform BUS),54.5592704004,-1.30141193572,TBY,TABY,,Europe/London,1,BUS,910GTABY,0
9100TADWBUS2,TADWORTH (AVENUE (Platform 2),51.291676905067305,-0.23880648340729632,TTA,TADWBUS,,Europe/London,0,2,910GTADWBUS,0
9100TADWTH1,Tadworth (Platform 1),51.2914245,-0.2358629,TAD,TADWTH,,Europe/London,0,1,910GTADWTH,0
9100TADWTH2,Tadworth (Platform 2),51.2914245,-0.2358629,TAD,TADWTH,,Europe/London,0,2,910GTADWTH,0
9100TALB1,Talybont (Platform 1),52.7729002,-4.0970877,TLB,TALB,,Europe/London,0,1,910GTALB,0
9100TALYCFN1,Tal-y-Cafn (Platform 1),53.2284216,-3.8183737,TLC,TALYCFN,,Europe/London,0,1,910GTALYCFN,0
9100TAMEBDG1,Tame Bridge Parkway (Platform 1),52.5522427,-1.9759632,TAB,TAMEBDG,,Europe/London,0,1,910GTAMEBDG,0
9100TAMEBDG2,Tame Bridge Parkway (Platform 2),52.5522427,-1.9759632,TAB,TAMEBDG,,Europe/London,0,2,910GTAMEBDG,0
9100TAPLOWBUS,Taplow (Platform BUS),51.5233325,-0.6818864,TAP,TAPLOW,,Europe/London,1,BUS,910GTAPLOW,0
9100TATNHMCBUS,Tattenham Corner (Platform BUS),51.30918326923,-0.24260921302,TAT,TATNHMC,,Europe/London,1,BUS,910GTATNHMC,0
9100TAUNTONBUS,Taunton (Platform BUS),51.0232945,-3.102674,TAU,TAUNTON,,Europe/London,1,BUS,910GTAUNTON,0
9100TCULVRT1,Thorpe Culvert (Platform 1),53.1230326,0.1995165,TPC,TCULVRT,,Europe/London,0,1,910GTCULVRT,0
9100TCULVRT2,Thorpe Culvert (Platform 2),53.1230326,0.1995165,TPC,TCULVRT,,Europe/London,0,2,910GTCULVRT,0
9100TDITTONBUS,Thames Ditton (Platform BUS),51.38909701651,-0.33915210939,THD,TDITTON,,Europe/London,0,BUS,910GTDITTON,0
9100TEDNGTN1,Teddington (Platform 1),51.4244662,-0.3325731,TED,TEDNGTN,,Europe/London,0,1,910GTEDNGTN,0
9100TEDNGTN2,Teddington (Platform 2),51.4244662,-0.3325731,TED,TEDNGTN,,Europe/London,0,2,910GTEDNGTN,0
9100TEDNGTNBUS,Teddington (Platform BUS),51.4244662,-0.3325731,TED,TEDNGTN,,Europe/London,0,BUS,910GTEDNGTN,0
9100TEINMTH1,Teignmouth (Platform 1),50.5481567,-3.4946798,TGM,TEINMTH,,Europe/London,0,1,910GTEINMTH,0
9100TEINMTH2,Teignmouth (Platform 2),50.5481567,-3.4946798,TGM,TEINMTH,,Europe/London,0,2,910GTEINMTH,0
9100TENBY1,Tenby (Platform 1),51.6729277,-4.7066919,TEN,TENBY,,Europe/London,0,1,910GTENBY,0
9100TENBY2,Tenby (Platform 2),51.6729277,-4.7066919,TEN,TENBY,,Europe/London,0,2,910GTENBY,0
