stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
ARCHAME,,ARROCHAR & TARBET,,56.2016901397163,-4.72756534850109
ARCHRAT,ART,Arrochar & Tarbet Rail Station,,56.20397079227,-4.72277004057
ARCHRCE,,ARROCHAR & TARBET C.E.,,56.202243455508,-4.72603777801395
ARCHTGF,,ARROCHAR & TARBET GF,,56.203907,-4.7215485
ARCQGBF,,ARCOW QUARRY GBRF,,54.1270585408074,-2.2979078962926
ARCQGF,,ARCOW QUARRY GF,,54.1305029742676,-2.29702783718878
ARDEGH,,ARDLEIGH,,51.9211151654471,0.984035217524084
ARDGAGF,,ARDGAY GF,,57.8783869,-4.358556
ARDGAY,ARD,Ardgay Rail Station,,57.88145239367,-4.36208920609
ARDGAYC,,ARDGAY C.E.,,57.8798759376975,-4.36069702226664
ARDLGF,,ARDLUI GROUND FRAME,,56.3007945,-4.720526
ARDLUCE,,RS,,56.3026811977997,-4.72186207079048
ARDLUI,AUI,Ardlui Rail Station,,56.30196654417,-4.72165737568
ARDNFHH,,ARDINGLY HANSON AGGREGATES,,51.0319231419336,-0.0951054013636695
ARDNGLP,,ARDINGLY LOOP,,51.0317166,-0.0976619
ARDNGLY,,ARDINGLY,,51.0319256698873,-0.0951708612746584
ARDRSDS,XAT,ARDROSSAN CHS,,55.642767207157,-4.80497182875989
ARDRSHB,ADS,Ardrossan Harbour Rail Station,,55.63987223045,-4.82111037688
ARDRSSB,ASB,Ardrossan South Beach Rail Station,,55.64141617387,-4.80121139475
ARDRSTN,ADN,Ardrossan Town Rail Station,,55.63970646967,-4.81267519968
ARDWCK,,Ardwck,,,
ARDWCKJ,,ARDWICK JUNCTION,,53.4728140635123,-2.21722606230151
ARDWICK,ADK,Ardwick Rail Station,,53.47154982765,-2.21432180977
ARDWKEJ,,MANCHESTER ARDWICK EAST,,53.4711514070826,-2.20887972224223
ARDWKEY,,ARDWICK EAST YARD,,53.4721666,-2.2051502
ARDWTMD,XRK,ARDWICK T.M.D,,53.4713450204124,-2.20994918486153
ARGYLST,AGS,Argyle Street Rail Station,,55.8573039361,-4.25069388384
ARISAIG,ARG,Arisaig Rail Station,,56.9125463927,-5.83907767832
ARISCE,,CE SIDING,,56.9127610976172,-5.83693765764273
ARKL021,,ARKLESTON SIGNAL 6021,,55.8562512151821,-4.38673266472874
ARKL023,,ARKLESTON SIGNAL 6023,,55.8563068528302,-4.38673943949258
ARKL025,,ARKLESTON SIGNAL 6025,,55.8563391359199,-4.38674538236773
ARKLSTE,,ARKLESTON EAST,,55.8547726590738,-4.39898915446707
ARKLSTJ,,ARKLESTON JN,,55.8547807333013,-4.39898964845066
ARKLSTW,,ARKLESTON WEST,,55.8547726590738,-4.39898915446707
ARKS814,,ARKSEY D814,,53.5520719592683,-1.13304043765715
